circuit_family,subgroup,train_size,random_sharing,n,test_accuracy,train_accuracy,generalization_gap,num_parameters,source
edge,C4,600,False,10,0.7034482758620689,0.7218333333333333,0.01838505747126434,60.0,results_leak_free_ablation_L3p2_train600.csv
edge,D4,600,False,10,0.6781609195402298,0.706,0.027839080459770092,54.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_ccrz,C4,600,False,10,0.7379310344827587,0.7538333333333334,0.01590229885057469,78.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_ccrz,D4,600,False,10,0.7448275862068965,0.7773333333333333,0.03250574712643676,72.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_zzz,C4,600,False,10,0.7264367816091954,0.7766666666666666,0.05022988505747124,78.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_zzz,D4,600,False,10,0.7448275862068965,0.7666666666666667,0.02183908045977008,72.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_zzz_ccrz,C4,600,False,10,0.7298850574712643,0.7901666666666667,0.06028160919540225,96.0,results_leak_free_ablation_L3p2_train600.csv
edge_line_zzz_ccrz,D4,600,False,10,0.7609195402298851,0.8035,0.04258045977011493,90.0,results_leak_free_ablation_L3p2_train600.csv
line_ccrz,C4,600,False,10,0.6954022988505747,0.7271666666666666,0.03176436781609194,54.0,results_leak_free_ablation_L3p2_train600.csv
line_ccrz,D4,600,False,10,0.6954022988505747,0.7271666666666666,0.03176436781609194,54.0,results_leak_free_ablation_L3p2_train600.csv
line_pair_crz,C4,600,False,10,0.6367816091954023,0.7023333333333334,0.06555172413793096,54.0,results_leak_free_ablation_L3p2_train600.csv
line_pair_crz,D4,600,False,10,0.6367816091954023,0.7023333333333334,0.06555172413793096,54.0,results_leak_free_ablation_L3p2_train600.csv
line_zzz,C4,600,False,10,0.7126436781609196,0.7113333333333334,-0.0013103448275862315,54.0,results_leak_free_ablation_L3p2_train600.csv
line_zzz,D4,600,False,10,0.7126436781609196,0.7113333333333334,-0.0013103448275862315,54.0,results_leak_free_ablation_L3p2_train600.csv
line_zzz_ccrz,C4,600,False,10,0.7218390804597701,0.7526666666666666,0.03082758620689654,72.0,results_leak_free_ablation_L3p2_train600.csv
line_zzz_ccrz,D4,600,False,10,0.7218390804597701,0.7526666666666666,0.03082758620689654,72.0,results_leak_free_ablation_L3p2_train600.csv
edge,C4,600,False,10,0.7034482758620689,0.7218333333333333,0.01838505747126434,60.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,C4,600,True,10,0.5844827586206897,0.5938333333333333,0.00935057471264367,60.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,D2_V4,600,False,10,0.6505747126436782,0.6986666666666667,0.04809195402298846,78.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,D2_V4,600,True,10,0.5988505747126437,0.6198333333333333,0.02098275862068962,78.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,D4,600,False,10,0.6781609195402298,0.706,0.027839080459770092,54.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,D4,600,True,10,0.5991379310344828,0.6101666666666666,0.0110287356321839,54.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,Z2_reflection,600,False,10,0.6655172413793103,0.7115,0.04598275862068965,126.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,Z2_reflection,600,True,10,0.6140804597701149,0.6506666666666667,0.03658620689655169,126.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,Z2_rot180,600,False,10,0.6603448275862069,0.7123333333333333,0.05198850574712639,108.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,Z2_rot180,600,True,10,0.6149425287356322,0.6478333333333334,0.03289080459770114,108.0,results_leak_free_random_sharing_L3p2_train600.csv
edge,none,600,False,10,0.646551724137931,0.7081666666666667,0.06161494252873558,204.0,results_leak_free_random_sharing_L3p2_train600.csv
