subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,circuit_family,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,train_seed,test_seed,requested_disjoint,actual_disjoint,overlap_count,split_mode,split_protocol,split_group,group_disjoint,orbit_overlap_count,train_orbit_count,test_orbit_count,train_index_digest,test_index_digest,split_index_digest,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices,source_fingerprint,environment_fingerprint,run_fingerprint
none,3,2,0,30,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,0.8522555146657264,2.97365045070671,0.9666666666666667,0.3706896551724138,0.5959770114942529,204,1,symmetry,651.1935458330554,0,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,29,49,c013ddbea8c37e6aa8b8cf7d4329d96c625f16b63c157940719fba0d14e27fb2,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,d67fe947f1d0e662a8a6586486cf49f7e46c2239af36cf11cf74f92071990bac,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,5,30,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,0.8354027946060965,2.503687260983592,1.0,0.4942528735632184,0.5057471264367817,204,1,symmetry,661.9285442910041,5,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,28,49,f19c029f9497e30339db469cea15ee2f27b83b31dfa3c32a19bf17fed2d60ae1,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,9fbae33259973293d1e9d4e11fff2df17f0b6f679b3a34f5aba31bafb5dfc912,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,0,60,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.2690287507535598,2.7528147543960246,0.9666666666666667,0.382183908045977,0.5844827586206897,204,1,symmetry,661.0597599579487,0,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,54,49,7f0c8ffa3a6cf22f2c5d2bcbc3b1f043a7e6f45099996a781c2523fa1c5238fc,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,3e4937a8f938376038ca7372f474fe7c343e35e95fd1ebb01de0d604a5397965,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,5,60,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.2571503172802698,2.5277132032586596,0.9666666666666667,0.514367816091954,0.45229885057471264,204,1,symmetry,641.6204478750005,5,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,54,49,bd2aa93f70526e37917a32782e0539a410e547269294843dcc57f34ef1b615cf,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,38af9789f7faf10930fc9293e4f070155f8776178331e52e21355219660a1693,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,0,120,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.5637397683802685,2.628422865935632,0.8833333333333333,0.40804597701149425,0.47528735632183905,204,1,symmetry,652.9103553339955,0,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,94,49,aa9ca803b030705a7cca3e3cc023ecc2ad129ddca70f13c4269ba3c91e253901,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,e1b51f896af5d7fb7fde1711fbb346495419096f71937d3b067dbe77e4e09eee,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,5,120,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.6176729949351956,2.2809277443784817,0.8416666666666667,0.5545977011494253,0.28706896551724137,204,1,symmetry,667.4816422500298,5,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,95,49,3adf81a214fcd77b7d308e12147eaa54449693b844ec78ffcfde40d82904f1f5,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,686fa309cd78b1fcf4c2fcf48542ef9a83fca5641ad8cd825509aa6f22d32508,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,0,240,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.845081368109754,2.3306613325777374,0.7416666666666667,0.5689655172413793,0.17270114942528736,204,1,symmetry,674.1924525840441,0,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,154,49,a25c38357d6c5afdf19497fbffd749a1aeb4a2a8be0500b392933f2f2842d722,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,914579416e955b1f6c350603da3bd42e668ba5545df619b41dfce3c406c5b966,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,5,240,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.7600419585558158,2.194163028916275,0.7833333333333333,0.603448275862069,0.17988505747126438,204,1,symmetry,654.1383166669984,5,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,156,49,a344be3f3386e32e0bda86869eace5bee48dd8db562c4b499b95bce074029eef,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,eb3b235c76053532847a5199c0be11e4f3870fde7e3ab33f4961c22ddb88ec32,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,0,450,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.888463507240873,2.202561854396448,0.7488888888888889,0.6120689655172413,0.1368199233716476,204,1,symmetry,646.5650270839687,0,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,226,49,f1397bc570062daae495b6aadb90f79049b648d027728c7a49b1ca0c775823b9,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,de5e6905b732dda763592549b10c872a142ee5f7abd703e1f002d99052f4b6b1,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
none,3,2,5,450,348,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,edge,0.1,False,0.0,D4,1.966189930817027,2.1135940496630927,0.7244444444444444,0.6982758620689655,0.02616858237547892,204,1,symmetry,636.3335304160137,5,0,True,True,0,d4_orbit_holdout_v1,d4_orbit_holdout_v1,D4,True,0,225,49,cc8a2b591b4ee35f4feb90e5ab75aa21968f28ed0bd0dd865657e6f7438c1309,898ffe05fe1f89dfae86bd2d395e1dcec5619e4b468dd1cef3f4db89652ed1a7,8340097c442d3ae98780c4cd19e283985f58408262e8b98f685b79bc09c56a87,0.0,0.0,0,none,(),5080177bfb0b19e1bdf2c632ce666ddfb4d7c99c079d28ca9950413aad67af82,0c4fabb34ac8b9127e556c700c1da20b5c8c2c4d4fcf83c8a5b917feb814ca61,f439a9ed51f57fae2f57b262021cc4415869d38f86d0bb4d2fa89db413eebdd4
