quantity,legacy,leak_free,delta
edge/none test accuracy at train=600,0.6266666666666667,0.6465517241379309,0.019885057471264234
edge/D4 test accuracy at train=600,0.6871666666666667,0.67816091954023,-0.009005747126436758
edge+lines/D4 test accuracy at train=600,0.7846666666666667,0.760919540229885,-0.023747126436781785
D4 symmetry gain over none at train=600,0.0605,0.031609195402299006,-0.028890804597700992
line-interaction gain over edge/D4 at train=600,0.09750000000000003,0.082758620689655,-0.014741379310345026
orbit-sharing gain over random sharing at train=600,0.10010000000000008,0.06931034482758602,-0.030789655172414054
